Event;SetupID;DecisionTime;StepFrom;StepTo;Direction;Bid;Ask;SpreadPoints;ATR;ATRPct100;ATRRegime;ADX;DIPlus;DIMinus;RSI;MACDHist;EMA200DistATR;EMA200Slope5ATR;FloatingPnLNoCost;OpenPositions;BasketBE;Session;OpenHour;Mode;Rule;FillPrice;FillTime
P;11;2014.01.16 14:03:00;2;3;SELL;1243.81;1245.19;137.9;0.80;0.064439;1.7405;35.1149;44.8418;7.1399;77.8173;0.280207;6.0012;0.041609;-18.60;3;1240.56;Overlap;14;0;M0;0.00;
F;11;2014.01.16 14:03:00;2;3;SELL;1243.81;1245.19;137.9;0.80;0.064439;1.7405;35.1149;44.8418;7.1399;77.8173;0.280207;6.0012;0.041609;-18.60;3;1242.77;Overlap;14;0;M0;1243.81;2014.01.16 14:03:00
A;12;2014.01.17 02:06:00;0;1;SELL;1243.23;1243.46;23.1;0.16;0.012669;0.6117;34.4762;26.7183;21.8593;53.0917;-0.046272;4.7034;0.058140;0.00;0;0.00;Asia;2;0;NONE;0.00;
A;12;2014.01.17 02:53:56;1;2;SELL;1243.94;1244.26;31.3;0.37;0.029423;1.8007;23.6319;24.0345;23.4457;62.3919;0.016360;2.9212;0.017612;-1.02;1;0.00;Asia;2;0;NONE;0.00;
P;12;2014.01.17 02:53:56;1;2;SELL;1243.94;1244.26;31.3;0.37;0.029423;1.8007;23.6319;24.0345;23.4457;62.3919;0.016360;2.9212;0.017612;-1.65;2;0.00;Asia;2;0;M0;0.00;
F;12;2014.01.17 02:53:56;1;2;SELL;1243.94;1244.26;31.3;0.37;0.029423;1.8007;23.6319;24.0345;23.4457;62.3919;0.016360;2.9212;0.017612;-1.65;2;1243.91;Asia;2;0;M0;1243.94;2014.01.17 02:53:56
A;13;2014.01.17 03:44:01;0;1;BUY;1242.98;1243.31;32.3;0.15;0.011947;0.8547;29.2516;19.7045;22.2274;45.1625;0.024866;-0.5153;-0.010816;0.00;0;0.00;Asia;3;0;NONE;0.00;
A;13;2014.01.17 04:34:59;1;2;BUY;1242.36;1242.65;28.8;0.16;0.013140;1.4841;19.7131;21.2704;49.9265;29.9547;-0.066846;-4.1939;-0.024555;-0.95;1;0.00;Asia;4;0;NONE;0.00;
P;13;2014.01.17 04:34:59;1;2;BUY;1242.36;1242.65;28.8;0.16;0.013140;1.4841;19.7131;21.2704;49.9265;29.9547;-0.066846;-4.1939;-0.024555;-1.53;2;0.00;Asia;4;0;M0;0.00;
F;13;2014.01.17 04:34:59;1;2;BUY;1242.36;1242.65;28.8;0.16;0.013140;1.4841;19.7131;21.2704;49.9265;29.9547;-0.066846;-4.1939;-0.024555;-1.53;2;1242.69;Asia;4;0;M0;1242.65;2014.01.17 04:34:59
A;14;2014.01.17 07:56:01;0;1;BUY;1240.72;1241.00;27.5;0.45;0.036410;0.7280;22.0277;21.2420;24.0041;43.8958;0.040485;-4.4593;-0.053402;0.00;0;0.00;London;7;0;NONE;0.00;
A;15;2014.01.17 10:14:10;0;1;BUY;1241.30;1241.59;28.7;0.15;0.011943;0.5262;20.5275;22.8434;20.0563;47.3924;0.021231;-1.6207;-0.025797;0.00;0;0.00;London;10;0;NONE;0.00;
A;15;2014.01.17 11:58:38;1;2;BUY;1240.61;1240.86;24.8;0.26;0.020816;2.0136;29.6645;11.8462;35.9564;32.9340;-0.024578;-4.0837;-0.030464;-0.98;1;0.00;London;11;0;NONE;0.00;
P;15;2014.01.17 11:58:38;1;2;BUY;1240.61;1240.86;24.8;0.26;0.020816;2.0136;29.6645;11.8462;35.9564;32.9340;-0.024578;-4.0837;-0.030464;-1.48;2;0.00;London;11;0;M0;0.00;
F;15;2014.01.17 11:58:38;1;2;BUY;1240.61;1240.86;24.8;0.26;0.020816;2.0136;29.6645;11.8462;35.9564;32.9340;-0.024578;-4.0837;-0.030464;-1.48;2;1240.95;London;11;0;M0;1240.86;2014.01.17 11:58:38
A;15;2014.01.17 12:00:04;2;3;BUY;1238.59;1239.87;127.4;0.78;0.062854;6.1786;36.8411;8.8978;40.1482;16.5503;-0.181172;-3.8951;-0.016784;-7.53;2;1240.95;Overlap;12;0;NONE;0.00;
P;15;2014.01.17 12:00:04;2;3;BUY;1238.59;1239.87;127.4;0.78;0.062854;6.1786;36.8411;8.8978;40.1482;16.5503;-0.181172;-3.8951;-0.016784;-11.35;3;1240.95;Overlap;12;0;M0;0.00;
F;15;2014.01.17 12:00:04;2;3;BUY;1238.59;1239.87;127.4;0.78;0.062854;6.1786;36.8411;8.8978;40.1482;16.5503;-0.181172;-3.8951;-0.016784;-11.35;3;1240.09;Overlap;12;0;M0;1239.87;2014.01.17 12:00:04
A;16;2014.01.17 20:52:02;0;1;BUY;1252.16;1252.52;36.0;0.22;0.017670;0.8225;15.8156;21.4057;19.8351;54.1459;0.082353;0.5626;-0.003942;0.00;0;0.00;NewYork;20;0;NONE;0.00;
A;17;2014.01.20 04:37:05;0;1;BUY;1255.32;1255.63;30.8;0.17;0.013662;1.8342;18.9481;22.0234;15.7045;60.1297;0.027382;-2.5137;-0.031943;0.00;0;0.00;Asia;4;0;NONE;0.00;
A;17;2014.01.20 07:16:22;1;2;BUY;1254.65;1254.97;31.6;0.32;0.025146;1.7800;35.5625;14.3680;42.6851;20.3231;-0.088888;-4.7728;-0.031108;-0.98;1;0.00;London;7;0;NONE;0.00;
P;17;2014.01.20 07:16:22;1;2;BUY;1254.65;1254.97;31.6;0.32;0.025146;1.7800;35.5625;14.3680;42.6851;20.3231;-0.088888;-4.7728;-0.031108;-1.61;2;0.00;London;7;0;M0;0.00;
F;17;2014.01.20 07:16:22;1;2;BUY;1254.65;1254.97;31.6;0.32;0.025146;1.7800;35.5625;14.3680;42.6851;20.3231;-0.088888;-4.7728;-0.031108;-1.61;2;1254.99;London;7;0;M0;1254.97;2014.01.20 07:16:22
A;18;2014.01.21 06:55:02;0;1;BUY;1252.47;1252.80;32.8;0.16;0.012435;0.9905;24.7642;18.6786;11.5058;55.9897;0.071346;-1.7473;-0.036309;0.00;0;0.00;Asia;6;0;NONE;0.00;
A;18;2014.01.21 08:02:07;1;2;BUY;1251.84;1252.16;31.3;0.42;0.033930;1.3603;29.9404;15.9463;58.2597;29.4469;-0.208722;-2.6927;-0.008750;-0.96;1;0.00;London;8;0;NONE;0.00;
