sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,BUY,H1,EMA200_DIST_POINTS,7233,2332.685451,1423.353225,633.960748,2675.029937,0.117430,73020.813117
ALL,BUY,H1,EMA200_DIST_ATR,7233,0.303516,0.360315,-3.844397,4.483656,-29.594933,28.089176
ALL,BUY,H4,RSI,7182,49.502034,49.528517,40.556643,58.498921,10.416686,92.544762
ALL,BUY,H4,ADX,7182,30.803180,28.352724,21.779716,37.180709,8.408214,83.878545
ALL,BUY,H4,CCI,7182,-8.165310,-5.107841,-88.521321,73.304204,-440.069959,337.026131
ALL,BUY,H4,DI_PLUS,7182,17.829699,17.127504,12.453976,22.565438,1.872096,56.664731
ALL,BUY,H4,DI_MINUS,7182,17.944690,17.378268,12.403632,22.781554,1.143058,50.113185
ALL,BUY,H4,DI_GAP,7182,10.867605,9.287135,4.365705,15.794810,0.003882,50.389069
ALL,BUY,H4,ATR,7182,10.341887,6.580375,4.327938,10.647938,1.117000,233.702750
ALL,BUY,H4,ATR_PCT_PRICE,7182,0.467122,0.398829,0.292143,0.551302,0.086940,4.565576
ALL,BUY,H4,EMA200_DIST_POINTS,7182,4554.031303,2678.490717,1248.364965,5238.092520,0.692111,83851.475473
ALL,BUY,H4,EMA200_DIST_ATR,7182,0.890571,0.854933,-3.124004,5.094725,-33.675090,22.255066
ALL,SELL,M1,RSI,2355,61.544555,61.493557,52.346099,70.957869,18.402347,94.402145
ALL,SELL,M1,ADX,2355,31.761316,29.563655,22.498711,38.737651,10.384996,79.438587
ALL,SELL,M1,CCI,2355,54.787685,40.512290,-65.181555,170.450306,-377.184118,466.666667
ALL,SELL,M1,DI_PLUS,2355,25.124084,22.526175,16.602425,33.543943,1.002371,63.449951
ALL,SELL,M1,DI_MINUS,2355,15.318028,14.626812,9.988287,19.594768,1.547528,45.452125
ALL,SELL,M1,DI_GAP,2355,14.319673,10.768747,4.390750,23.383182,0.004206,60.382693
ALL,SELL,M1,ATR,2355,0.670484,0.408250,0.240125,0.729000,0.025500,15.577500
ALL,SELL,M1,ATR_PCT_PRICE,2355,0.031537,0.023802,0.015566,0.037900,0.001999,0.454561
ALL,SELL,M1,EMA200_DIST_POINTS,2355,345.279804,204.896033,89.298100,396.158038,0.050371,7994.606958
ALL,SELL,M1,EMA200_DIST_ATR,2355,4.547425,4.661501,1.831343,7.323248,-27.443550,38.280843
ALL,SELL,M5,RSI,2355,62.019727,62.622243,55.060273,69.102901,28.467317,89.299286
ALL,SELL,M5,ADX,2355,33.245033,30.830875,23.738509,40.882986,10.546171,84.626677
ALL,SELL,M5,CCI,2355,117.974164,115.564168,80.556848,162.014158,-253.711926,466.666667
ALL,SELL,M5,DI_PLUS,2355,26.319863,26.042616,21.193727,31.386765,4.184314,52.668924
ALL,SELL,M5,DI_MINUS,2355,11.329177,10.531075,7.670151,14.187546,0.887928,39.365465
ALL,SELL,M5,DI_GAP,2355,15.809993,15.535766,8.807824,22.132342,0.000858,49.014700
ALL,SELL,M5,ATR,2355,1.491539,0.957500,0.590000,1.594125,0.089500,29.692000
ALL,SELL,M5,ATR_PCT_PRICE,2355,0.069326,0.055847,0.038170,0.085162,0.006941,1.106264
ALL,SELL,M5,EMA200_DIST_POINTS,2355,650.542839,365.543807,166.341122,738.208949,0.077456,12473.519245
ALL,SELL,M5,EMA200_DIST_ATR,2355,2.129616,2.587851,-0.954028,5.558996,-35.014538,29.288051
ALL,SELL,M15,RSI,2355,58.971132,59.073204,51.360617,66.873133,20.458539,91.970111
ALL,SELL,M15,ADX,2355,30.452114,27.906010,21.771959,36.524986,10.006772,81.746089
