Direction,TF,Feature,Outcome,N_total,N_complete,N_missing,N_zero,Median,Q1,Q3,IQR,Min,Max
BUY,M1,EMA50Slope5ATR,STOP,75,75,0,0,-0.048956,-0.094943,-0.021464,0.073480,-0.379922,0.116726
BUY,M1,EMA50Slope5ATR,NON-STOP,3538,3538,0,1,-0.073866,-0.119505,-0.033250,0.086254,-0.726796,0.509518
BUY,M1,EMA50Slope5ATR,TARGET,3255,3255,0,1,-0.073679,-0.118247,-0.033654,0.084594,-0.661875,0.509518
BUY,M1,EMA50Slope5ATR,BE,282,282,0,0,-0.075788,-0.126354,-0.029932,0.096422,-0.726796,0.247934
BUY,M1,EMA50Slope5ATR,OTHER_NONSTOP,1,1,0,0,-0.009124,-0.009124,-0.009124,0.000000,-0.009124,-0.009124
BUY,M1,EMA200Slope5ATR,STOP,75,75,0,0,-0.014089,-0.039338,0.003902,0.043240,-0.162566,0.072900
BUY,M1,EMA200Slope5ATR,NON-STOP,3538,3538,0,0,-0.024540,-0.050746,0.000055,0.050800,-0.435844,0.214879
BUY,M1,EMA200Slope5ATR,TARGET,3255,3255,0,0,-0.024480,-0.050271,-0.000004,0.050268,-0.435844,0.192874
BUY,M1,EMA200Slope5ATR,BE,282,282,0,0,-0.025510,-0.057055,0.001590,0.058646,-0.289627,0.214879
BUY,M1,EMA200Slope5ATR,OTHER_NONSTOP,1,1,0,0,-0.001927,-0.001927,-0.001927,0.000000,-0.001927,-0.001927
BUY,M1,EMAGap2050ATR,STOP,75,75,0,0,-0.681363,-1.314692,-0.169834,1.144858,-4.507691,0.837045
BUY,M1,EMAGap2050ATR,NON-STOP,3538,3538,0,0,-0.954024,-1.588623,-0.395954,1.192668,-10.665104,4.700987
BUY,M1,EMAGap2050ATR,TARGET,3255,3255,0,0,-0.944763,-1.579026,-0.395368,1.183658,-10.665104,4.700987
BUY,M1,EMAGap2050ATR,BE,282,282,0,0,-1.044479,-1.703656,-0.420063,1.283593,-10.029441,2.520147
BUY,M1,EMAGap2050ATR,OTHER_NONSTOP,1,1,0,0,-0.040350,-0.040350,-0.040350,0.000000,-0.040350,-0.040350
BUY,M1,EMAGap50200ATR,STOP,75,75,0,0,-0.300716,-1.695464,1.170560,2.866024,-7.680083,9.063375
BUY,M1,EMAGap50200ATR,NON-STOP,3538,3538,0,0,-0.698420,-2.590877,1.096281,3.687158,-28.679205,23.289871
BUY,M1,EMAGap50200ATR,TARGET,3255,3255,0,0,-0.688494,-2.571268,1.060292,3.631560,-28.679205,17.311048
BUY,M1,EMAGap50200ATR,BE,282,282,0,0,-0.826667,-3.042250,1.282311,4.324561,-16.155760,23.289871
BUY,M1,EMAGap50200ATR,OTHER_NONSTOP,1,1,0,0,0.019840,0.019840,0.019840,0.000000,0.019840,0.019840
BUY,M1,EMACompressionATR,STOP,75,75,0,0,2.061775,1.117694,3.675666,2.557972,0.070859,11.778251
BUY,M1,EMACompressionATR,NON-STOP,3538,3538,0,0,2.874237,1.615077,4.796361,3.181284,0.040350,38.215790
BUY,M1,EMACompressionATR,TARGET,3255,3255,0,0,2.837179,1.591495,4.714354,3.122859,0.060394,38.215790
BUY,M1,EMACompressionATR,BE,282,282,0,0,3.305314,1.786818,5.693031,3.906212,0.109121,23.289871
BUY,M1,EMACompressionATR,OTHER_NONSTOP,1,1,0,0,0.040350,0.040350,0.040350,0.000000,0.040350,0.040350
BUY,M5,RSI,STOP,75,75,0,0,44.792671,35.741670,49.560466,13.818796,16.651680,58.246898
BUY,M5,RSI,NON-STOP,3538,3538,0,0,41.938498,35.510881,48.441140,12.930259,8.634043,73.764707
BUY,M5,RSI,TARGET,3255,3255,0,0,41.856708,35.408056,48.427296,13.019241,8.634043,73.764707
BUY,M5,RSI,BE,282,282,0,0,42.902180,36.544556,48.443038,11.898482,9.542608,72.149818
BUY,M5,RSI,OTHER_NONSTOP,1,1,0,0,51.435296,51.435296,51.435296,0.000000,51.435296,51.435296
BUY,M5,ADX,STOP,75,75,0,0,29.445342,23.417914,36.937732,13.519818,12.138251,62.723731
BUY,M5,ADX,NON-STOP,3538,3538,0,0,29.989490,23.362498,38.450315,15.087816,9.842707,80.899695
BUY,M5,ADX,TARGET,3255,3255,0,0,30.056186,23.468858,38.408012,14.939154,9.842707,80.899695
BUY,M5,ADX,BE,282,282,0,0,29.162038,22.462659,38.958784,16.496124,10.117776,70.341486
BUY,M5,ADX,OTHER_NONSTOP,1,1,0,0,19.084987,19.084987,19.084987,0.000000,19.084987,19.084987
BUY,M5,DIPlus,STOP,75,75,0,0,12.449122,8.267530,15.298567,7.031038,2.476719,34.210943
BUY,M5,DIPlus,NON-STOP,3538,3538,0,0,11.606012,8.469114,15.190687,6.721573,1.238876,39.067600
