Direction,TF,Feature,Outcome,Value,N_total,N_complete,N_missing,Count,Pct_of_all_group,Pct_of_nonmissing
BUY,M30,EMAOrder,NON-STOP,E100>E200>E50>E20,3538,3534,4,107,3.024308,3.027731
BUY,M30,EMAOrder,NON-STOP,E100>E20>E200>E50,3538,3534,4,1,0.028265,0.028297
BUY,M30,EMAOrder,NON-STOP,E100>E20>E50>E200,3538,3534,4,6,0.169587,0.169779
BUY,M30,EMAOrder,NON-STOP,E100>E50>E200>E20,3538,3534,4,68,1.921990,1.924165
BUY,M30,EMAOrder,NON-STOP,E100>E50>E20>E200,3538,3534,4,65,1.837196,1.839276
BUY,M30,EMAOrder,NON-STOP,E200>E100>E20>E50,3538,3534,4,186,5.257207,5.263158
BUY,M30,EMAOrder,NON-STOP,E200>E100>E50>E20,3538,3534,4,894,25.268513,25.297114
BUY,M30,EMAOrder,NON-STOP,E200>E20>E100>E50,3538,3534,4,120,3.391747,3.395586
BUY,M30,EMAOrder,NON-STOP,E200>E20>E50>E100,3538,3534,4,63,1.780667,1.782683
BUY,M30,EMAOrder,NON-STOP,E200>E50>E100>E20,3538,3534,4,13,0.367439,0.367855
BUY,M30,EMAOrder,NON-STOP,E200>E50>E20>E100,3538,3534,4,8,0.226116,0.226372
BUY,M30,EMAOrder,NON-STOP,E20>E100>E200>E50,3538,3534,4,5,0.141323,0.141483
BUY,M30,EMAOrder,NON-STOP,E20>E100>E50>E200,3538,3534,4,14,0.395704,0.396152
BUY,M30,EMAOrder,NON-STOP,E20>E200>E100>E50,3538,3534,4,13,0.367439,0.367855
BUY,M30,EMAOrder,NON-STOP,E20>E200>E50>E100,3538,3534,4,103,2.911249,2.914544
BUY,M30,EMAOrder,NON-STOP,E20>E50>E100>E200,3538,3534,4,1441,40.729226,40.775325
BUY,M30,EMAOrder,NON-STOP,E20>E50>E200>E100,3538,3534,4,107,3.024308,3.027731
BUY,M30,EMAOrder,NON-STOP,E50>E100>E200>E20,3538,3534,4,10,0.282646,0.282965
BUY,M30,EMAOrder,NON-STOP,E50>E100>E20>E200,3538,3534,4,128,3.617863,3.621958
BUY,M30,EMAOrder,NON-STOP,E50>E200>E100>E20,3538,3534,4,1,0.028265,0.028297
BUY,M30,EMAOrder,NON-STOP,E50>E20>E100>E200,3538,3534,4,177,5.002826,5.008489
BUY,M30,EMAOrder,NON-STOP,E50>E20>E200>E100,3538,3534,4,1,0.028265,0.028297
BUY,M30,EMAOrder,NON-STOP,[MISSING],3538,3534,4,4,0.113058,
BUY,M30,EMAOrder,TARGET,E100>E200>E20>E50,3255,3252,3,3,0.092166,0.092251
