RunID,SetupID,PositionID,Step1FillTime,MaxStep,ReachedStep2,ReachedStep3,ReachedStep4,ReachedStep5,HitTP1,HitTP2,HitTP3,HitEMA200,Step2Time,Step3Time,Step4Time,Step5Time,TP1Time,TP2Time,TP3Time,EMA200Time,CloseTime,FinalEvent,EventPath,FinalProfit,MFEMoney,MAEMoney,MaxDDMoney,MaxDDPct,IsFinalized,IsCensored,CensorReason,IsExternalClose
RX_1388707200_XAUUSD,34,140,2014.01.31 08:03:03,2,1,0,0,0,0,1,0,1,2014.01.31 08:09:46,,,,,2014.01.31 09:26:43,,2014.01.31 09:24:54,2014.01.31 09:26:43,EMA->TP2,EMA->TP2,3.24,3.24,6.69,8.75,0.001751,1,0,,0
RX_1388707200_XAUUSD,35,144,2014.01.31 13:40:00,1,0,0,0,0,1,0,0,1,,,,,2014.01.31 15:05:24,,,2014.01.31 15:00:51,2014.01.31 15:05:24,EMA->TP1,EMA->TP1,3.96,3.96,1.13,2.87,0.000574,1,0,,0
RX_1388707200_XAUUSD,36,146,2014.01.31 17:01:01,1,0,0,0,0,1,0,0,1,,,,,2014.01.31 18:29:55,,,2014.01.31 17:01:01,2014.01.31 18:29:55,EMA->TP1,EMA->TP1,2.28,2.28,0.97,2.26,0.000452,1,0,,0
RX_1388707200_XAUUSD,37,148,2014.01.31 20:17:03,2,1,0,0,0,0,1,0,1,2014.01.31 20:50:24,,,,,2014.02.02 23:00:00,,2014.02.02 23:00:00,2014.02.02 23:00:01,TP2->EMA->TP2,TP2->EMA,2.03,2.03,4.94,4.94,0.000988,1,0,,0
RX_1388707200_XAUUSD,38,152,2014.02.04 01:05:00,1,0,0,0,0,1,0,0,1,,,,,2014.02.04 05:56:14,,,2014.02.04 01:18:20,2014.02.04 06:12:23,EMA->TP1,EMA->TP1,2.09,2.09,1.38,1.80,0.000360,1,0,,0
RX_1388707200_XAUUSD,39,154,2014.02.04 13:33:00,2,1,0,0,0,0,1,0,0,2014.02.04 13:51:27,,,,,2014.02.04 14:36:53,,,2014.02.04 14:36:53,TP2,TP2,4.07,4.07,4.06,5.61,0.001122,1,0,,0
RX_1388707200_XAUUSD,40,158,2014.02.05 13:03:00,1,0,0,0,0,1,0,0,1,,,,,2014.02.05 13:06:03,,,2014.02.05 13:03:00,2014.02.05 13:06:03,EMA->TP1,EMA->TP1,2.20,2.20,0.51,0.51,0.000102,1,0,,0
RX_1388707200_XAUUSD,41,160,2014.02.06 20:13:07,2,1,0,0,0,0,1,0,1,2014.02.06 20:16:24,,,,,2014.02.06 20:32:46,,2014.02.06 20:13:07,2014.02.06 20:33:25,EMA->TP2,EMA->TP2,2.10,2.10,1.98,1.98,0.000396,1,0,,0
RX_1388707200_XAUUSD,42,164,2014.02.10 07:43:03,1,0,0,0,0,1,0,0,1,,,,,2014.02.10 08:56:53,,,2014.02.10 07:43:03,2014.02.10 08:56:53,EMA->TP1,EMA->TP1,2.00,2.00,0.98,1.76,0.000352,1,0,,0
RX_1388707200_XAUUSD,43,166,2014.02.11 12:44:00,1,0,0,0,0,1,0,0,1,,,,,2014.02.11 12:45:39,,,2014.02.11 12:44:00,2014.02.11 12:50:17,EMA->TP1,EMA->TP1,2.11,2.11,0.38,0.70,0.000140,1,0,,0
