sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,BUY,M30,ADX,77,26.486083,24.058149,20.257009,31.062090,14.888144,56.682480
ALL,BUY,M30,CCI,77,-66.801728,-71.554117,-156.219418,28.568043,-292.262911,115.525384
ALL,BUY,M30,DI_PLUS,77,15.245957,15.205238,12.319239,18.241443,3.499200,26.705739
ALL,BUY,M30,DI_MINUS,77,21.132173,20.815271,14.757579,27.021192,6.762373,38.546113
ALL,BUY,M30,DI_GAP,77,10.762570,9.109020,4.167059,14.992592,0.051849,33.659110
ALL,BUY,M30,ATR,77,1.630685,1.531750,1.257750,1.925000,0.794500,3.596750
ALL,BUY,M30,ATR_PCT_PRICE,77,0.128074,0.119240,0.098780,0.151896,0.064647,0.288342
ALL,BUY,M30,EMA200_DIST_POINTS,77,882.243974,683.217725,275.019802,1340.875564,4.726197,2967.263382
ALL,BUY,M30,EMA200_DIST_ATR,77,3.366045,2.589923,-0.804778,8.153686,-8.910284,19.532756
ALL,BUY,H1,RSI,68,49.919005,48.017607,40.250702,60.709372,27.706321,73.442345
ALL,BUY,H1,ADX,68,30.631763,28.947669,22.877283,33.938553,18.081506,69.841048
ALL,BUY,H1,CCI,68,-33.112312,-31.635299,-120.927116,45.366545,-266.663551,180.917315
ALL,BUY,H1,DI_PLUS,68,16.349098,16.046289,12.898540,19.004261,7.313159,36.074772
ALL,BUY,H1,DI_MINUS,68,18.337701,19.198727,11.881729,24.358595,3.064842,38.266168
ALL,BUY,H1,DI_GAP,68,9.713421,8.631291,3.798000,14.199216,0.040589,30.357701
ALL,BUY,H1,ATR,68,2.382750,2.225750,1.699750,2.768125,1.294500,5.729750
ALL,BUY,H1,ATR_PCT_PRICE,68,0.186444,0.172119,0.134886,0.219479,0.104196,0.452119
ALL,BUY,H1,EMA200_DIST_POINTS,68,1362.866362,1078.155144,458.952228,2025.101417,6.479519,4242.713057
ALL,BUY,H1,EMA200_DIST_ATR,68,4.844291,3.988997,1.186333,9.014709,-6.100409,22.563725
ALL,BUY,H4,RSI,17,65.401389,67.961787,50.606473,75.137938,46.120652,83.354391
ALL,BUY,H4,ADX,17,45.585932,51.021396,26.922700,66.574149,15.757201,69.247519
ALL,BUY,H4,CCI,17,33.181746,58.149238,-39.890181,93.279631,-111.362054,181.718010
ALL,BUY,H4,DI_PLUS,17,25.489544,26.297674,18.516508,29.335456,12.043889,40.398112
ALL,BUY,H4,DI_MINUS,17,13.361807,13.280934,8.928083,17.570370,2.328576,25.169231
ALL,BUY,H4,DI_GAP,17,15.574181,14.588062,5.633880,17.094517,0.946138,37.711293
ALL,BUY,H4,ATR,17,5.529574,5.660000,4.595500,5.985250,3.277250,8.173000
ALL,BUY,H4,ATR_PCT_PRICE,17,0.417026,0.426866,0.342873,0.455610,0.247184,0.611730
ALL,BUY,H4,EMA200_DIST_POINTS,17,5700.474405,5985.789226,4563.903295,6474.299207,4120.762918,6934.307265
ALL,BUY,H4,EMA200_DIST_ATR,17,11.131312,11.819164,7.510841,13.043573,6.177592,19.755280
ALL,SELL,M1,RSI,32,58.430310,56.342211,51.175832,67.532695,34.083837,77.817252
ALL,SELL,M1,ADX,32,29.912458,28.014025,22.648455,35.291626,15.898561,48.997938
ALL,SELL,M1,CCI,32,28.243482,18.043783,-73.802338,142.473599,-222.646017,260.831394
ALL,SELL,M1,DI_PLUS,32,24.823762,22.553431,17.095424,34.377024,9.029634,44.841773
ALL,SELL,M1,DI_MINUS,32,16.898032,16.701534,11.670668,21.997324,5.296818,27.328009
ALL,SELL,M1,DI_GAP,32,13.136980,8.130052,5.045415,23.490074,0.588756,37.701891
ALL,SELL,M1,ATR,32,0.376078,0.328375,0.206500,0.463688,0.090250,1.622000
ALL,SELL,M1,ATR_PCT_PRICE,32,0.029718,0.025832,0.015557,0.036178,0.006874,0.130692
ALL,SELL,M1,EMA200_DIST_POINTS,32,143.598872,100.431590,50.859221,215.134218,3.373133,491.309293
ALL,SELL,M1,EMA200_DIST_ATR,32,3.145210,3.096814,0.976938,5.755040,-7.032460,9.012359
