Event;SetupID;StepFrom;StepTo;T_decision;DecisionServerTime;FeatureShift;BarOpenTime_Shift1;BarCloseTime_Shift1;ATR_Shift1;ATRPct_Shift1;ADX_Shift1;DIPlus_Shift1;DIMinus_Shift1;PriceRef_Shift1;strict_before_check;C2M2_Decision;LatchStatus;Direction;Mode;Rule;SourceCommit;SpecVersion;Build
C2M2_DECISION;285;3;4;2014.11.05 03:20:14;2014.11.05 03:20:14;1;2014.11.05 03:19:00;2014.11.05 03:20:00;0.38;0.032665;66.0043;5.1725;46.9840;1164.10;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;312;3;4;2014.11.28 01:10:23;2014.11.28 01:10:23;1;2014.11.28 01:09:00;2014.11.28 01:10:00;0.42;0.035650;45.1429;11.1283;33.6924;1185.14;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;314;3;4;2014.12.02 00:14:45;2014.12.02 00:14:45;1;2014.12.02 00:13:00;2014.12.02 00:14:00;0.49;0.040824;40.8208;9.0723;39.1560;1205.19;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;335;3;4;2014.12.22 17:15:22;2014.12.22 17:15:22;1;2014.12.22 17:14:00;2014.12.22 17:15:00;1.06;0.089435;35.9048;12.2428;37.8835;1179.91;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;339;3;4;2015.01.02 12:29:43;2015.01.02 12:29:43;1;2015.01.02 12:28:00;2015.01.02 12:29:00;0.22;0.018623;20.3471;13.2147;24.8516;1182.65;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;341;3;4;2015.01.06 16:44:51;2015.01.06 16:44:51;1;2015.01.06 16:43:00;2015.01.06 16:44:00;2.00;0.164530;44.4906;37.0712;9.9784;1216.80;true;ALLOW;FIRST;SELL;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;360;3;4;2015.01.27 06:52:31;2015.01.27 06:52:31;1;2015.01.27 06:51:00;2015.01.27 06:52:00;0.49;0.037919;37.9780;38.6731;6.3366;1281.67;true;ALLOW;FIRST;SELL;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;374;3;4;2015.02.09 21:57:24;2015.02.09 21:57:24;1;2015.02.09 21:56:00;2015.02.09 21:57:00;0.11;0.008717;45.6193;6.3419;53.1545;1238.89;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;375;3;4;2015.02.10 08:39:48;2015.02.10 08:39:48;1;2015.02.10 08:38:00;2015.02.10 08:39:00;0.34;0.027416;38.9607;11.6628;22.9911;1241.98;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;380;3;4;2015.02.17 03:00:56;2015.02.17 03:00:56;1;2015.02.17 02:59:00;2015.02.17 03:00:00;0.52;0.042542;48.3438;7.8090;48.7465;1228.80;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;411;3;4;2015.03.18 05:39:33;2015.03.18 05:39:33;1;2015.03.18 05:38:00;2015.03.18 05:39:00;0.44;0.038246;43.2320;10.2921;40.5556;1149.14;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;421;3;4;2015.03.23 01:17:04;2015.03.23 01:17:04;1;2015.03.23 01:16:00;2015.03.23 01:17:00;0.66;0.055522;57.4784;4.0937;44.3156;1182.87;true;VETO;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;428;3;4;2015.03.30 07:02:45;2015.03.30 07:02:45;1;2015.03.30 07:01:00;2015.03.30 07:02:00;0.46;0.038982;51.1613;13.4870;29.5042;1191.58;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;431;3;4;2015.04.06 12:06:29;2015.04.06 12:06:29;1;2015.04.06 12:05:00;2015.04.06 12:06:00;0.41;0.033969;67.9634;10.6350;35.6537;1216.54;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;433;3;4;2015.04.07 08:25:55;2015.04.07 08:25:55;1;2015.04.07 08:24:00;2015.04.07 08:25:00;0.28;0.022921;33.6998;12.6167;25.3802;1210.67;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;439;3;4;2015.04.13 03:04:20;2015.04.13 03:04:20;1;2015.04.13 03:03:00;2015.04.13 03:04:00;0.31;0.025969;24.6056;11.5339;37.0478;1205.28;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;442;3;4;2015.04.14 06:17:33;2015.04.14 06:17:33;1;2015.04.14 06:16:00;2015.04.14 06:17:00;0.73;0.060720;25.0929;17.1276;27.7027;1194.83;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;453;3;4;2015.04.23 01:34:39;2015.04.23 01:34:39;1;2015.04.23 01:33:00;2015.04.23 01:34:00;0.40;0.033908;42.8456;16.7052;29.6258;1184.84;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;455;3;4;2015.04.24 13:55:16;2015.04.24 13:55:16;1;2015.04.24 13:54:00;2015.04.24 13:55:00;0.64;0.054249;44.6752;5.5732;29.8920;1186.66;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;459;3;4;2015.04.29 18:01:39;2015.04.29 18:01:39;1;2015.04.29 18:00:00;2015.04.29 18:01:00;2.55;0.211530;29.8683;12.7173;36.6588;1203.85;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;466;3;4;2015.05.06 03:20:00;2015.05.06 03:20:00;1;2015.05.06 03:19:00;2015.05.06 03:20:00;0.32;0.026725;51.5788;39.1510;3.9774;1196.46;false;INVALID;FIRST;SELL;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;469;3;4;2015.05.07 05:49:12;2015.05.07 05:49:12;1;2015.05.07 05:48:00;2015.05.07 05:49:00;0.27;0.022509;17.8424;28.7669;10.9199;1188.42;true;ALLOW;FIRST;SELL;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;471;3;4;2015.05.11 07:09:14;2015.05.11 07:09:14;1;2015.05.11 07:08:00;2015.05.11 07:09:00;0.43;0.036064;53.0004;5.9403;28.3724;1184.69;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;472;3;4;2015.05.12 05:39:26;2015.05.12 05:39:26;1;2015.05.12 05:38:00;2015.05.12 05:39:00;0.22;0.018849;67.2622;8.4134;24.0906;1181.79;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;487;3;4;2015.05.26 12:52:59;2015.05.26 12:52:59;1;2015.05.26 12:51:00;2015.05.26 12:52:00;0.63;0.053142;52.9754;4.1639;32.9456;1187.39;true;VETO;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;488;3;4;2015.06.01 01:29:08;2015.06.01 01:29:08;1;2015.06.01 01:28:00;2015.06.01 01:29:00;0.19;0.016095;27.7330;11.9202;46.3711;1189.80;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;493;3;4;2015.06.04 06:56:46;2015.06.04 06:56:46;1;2015.06.04 06:55:00;2015.06.04 06:56:00;0.30;0.025375;63.3514;4.3559;29.9641;1182.25;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;504;3;4;2015.06.11 10:15:22;2015.06.11 10:15:22;1;2015.06.11 10:14:00;2015.06.11 10:15:00;0.46;0.039251;41.7125;7.6375;36.7526;1178.96;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;507;3;4;2015.06.15 00:05:59;2015.06.15 00:05:59;1;2015.06.15 00:04:00;2015.06.15 00:05:00;0.15;0.012253;34.1156;12.0857;46.8171;1183.37;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;510;3;4;2015.06.18 08:32:12;2015.06.18 08:32:12;1;2015.06.18 08:31:00;2015.06.18 08:32:00;0.40;0.033596;44.4875;37.5382;11.2021;1197.32;true;ALLOW;FIRST;SELL;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;517;3;4;2015.06.26 13:18:40;2015.06.26 13:18:40;1;2015.06.26 13:17:00;2015.06.26 13:18:00;0.76;0.065128;37.2226;9.3535;38.5424;1170.39;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;531;3;4;2015.07.15 14:58:42;2015.07.15 14:58:42;1;2015.07.15 14:57:00;2015.07.15 14:58:00;0.53;0.046030;56.7785;6.3534;22.3477;1146.54;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;542;3;4;2015.07.30 06:01:23;2015.07.30 06:01:23;1;2015.07.30 06:00:00;2015.07.30 06:01:00;0.68;0.062347;33.6872;9.3411;47.7723;1090.68;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;543;3;4;2015.07.31 01:32:04;2015.07.31 01:32:04;1;2015.07.31 01:31:00;2015.07.31 01:32:00;0.45;0.041045;30.4621;16.8236;34.0753;1084.80;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;545;3;4;2015.08.02 23:42:10;2015.08.02 23:42:10;1;2015.08.02 23:41:00;2015.08.02 23:42:00;0.11;0.010466;39.5067;14.0149;46.4940;1093.97;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;548;3;4;2015.08.03 22:00:00;2015.08.03 22:00:00;1;2015.08.03 20:59:00;2015.08.03 21:00:00;0.15;0.013624;41.8637;25.2258;20.7888;1086.34;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;576;3;4;2015.09.02 01:00:00;2015.09.02 01:00:00;1;2015.09.01 22:59:00;2015.09.01 23:00:00;0.05;0.004146;25.8208;15.1253;35.3595;1139.72;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
