sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,SELL,M1,RSI,2352,61.508819,61.551186,52.346148,70.905377,18.402347,92.787753
ALL,SELL,M1,ADX,2352,31.796292,29.561807,22.507751,38.819517,10.384996,81.488910
ALL,SELL,M1,CCI,2352,53.959647,40.625400,-64.963263,168.850582,-377.184118,466.666667
ALL,SELL,M1,DI_PLUS,2352,25.089726,22.515701,16.599469,33.209013,1.002371,63.449951
ALL,SELL,M1,DI_MINUS,2352,15.295809,14.595300,9.961260,19.569170,1.310778,45.452125
ALL,SELL,M1,DI_GAP,2352,14.310021,10.772962,4.387218,23.375905,0.004206,60.382693
ALL,SELL,M1,ATR,2352,0.666214,0.409750,0.241500,0.728875,0.025500,15.577500
ALL,SELL,M1,ATR_PCT_PRICE,2352,0.031083,0.023820,0.015611,0.037951,0.001999,0.454561
ALL,SELL,M1,EMA200_DIST_POINTS,2352,346.873575,207.087412,89.688438,399.606313,0.050371,7994.606958
ALL,SELL,M1,EMA200_DIST_ATR,2352,4.589475,4.716357,1.840244,7.362483,-27.443550,38.280843
ALL,SELL,M5,RSI,2352,62.030535,62.629460,55.070523,69.108283,28.467317,89.299286
ALL,SELL,M5,ADX,2352,33.300026,30.894645,23.743688,40.950793,10.546171,84.626677
ALL,SELL,M5,CCI,2352,117.654054,115.381420,80.596015,161.996203,-253.711926,466.666667
ALL,SELL,M5,DI_PLUS,2352,26.320166,26.056439,21.197519,31.388298,4.184314,52.668924
ALL,SELL,M5,DI_MINUS,2352,11.316755,10.519206,7.654311,14.166894,0.887928,39.365465
ALL,SELL,M5,DI_GAP,2352,15.823047,15.564947,8.832372,22.144035,0.000858,49.014700
ALL,SELL,M5,ATR,2352,1.497876,0.961875,0.592375,1.602250,0.089500,29.692000
ALL,SELL,M5,ATR_PCT_PRICE,2352,0.069389,0.055980,0.038179,0.085181,0.006941,1.106264
ALL,SELL,M5,EMA200_DIST_POINTS,2352,652.166093,365.873084,166.432755,751.160202,0.077456,12473.519245
ALL,SELL,M5,EMA200_DIST_ATR,2352,2.143474,2.584811,-0.939763,5.556537,-35.014538,29.288051
ALL,SELL,M15,RSI,2352,58.996517,59.104882,51.391925,66.929877,20.458539,91.970111
ALL,SELL,M15,ADX,2352,30.468370,27.899851,21.751330,36.519853,10.006772,81.746089
ALL,SELL,M15,CCI,2352,103.336287,115.073924,49.450638,161.990829,-187.254219,459.771916
ALL,SELL,M15,DI_PLUS,2352,24.792059,24.501884,19.502865,29.824506,3.007170,50.564303
ALL,SELL,M15,DI_MINUS,2352,12.661509,12.169024,8.824656,15.969639,1.436306,35.095005
ALL,SELL,M15,DI_GAP,2352,13.841089,12.903811,6.573804,19.747856,0.010687,46.502785
ALL,SELL,M15,ATR,2352,2.565660,1.647500,1.038812,2.713312,0.204500,46.659000
ALL,SELL,M15,ATR_PCT_PRICE,2352,0.118469,0.097106,0.069002,0.144061,0.016017,1.363695
ALL,SELL,M15,EMA200_DIST_POINTS,2352,1042.203544,598.312654,277.883493,1172.573899,0.141780,37114.917457
ALL,SELL,M15,EMA200_DIST_ATR,2352,1.235410,1.447915,-2.122548,4.793770,-30.514051,32.032510
ALL,SELL,M30,RSI,2352,56.872451,56.915953,48.834962,65.169920,15.823347,90.201408
ALL,SELL,M30,ADX,2352,29.466985,27.329925,21.324045,35.909762,10.723586,77.244896
ALL,SELL,M30,CCI,2352,80.576122,91.769379,5.139879,148.476796,-263.984359,466.666667
ALL,SELL,M30,DI_PLUS,2352,22.917361,22.627422,17.441686,28.221123,1.527606,48.531876
ALL,SELL,M30,DI_MINUS,2352,13.959547,13.301200,9.835545,17.664163,1.785601,38.856283
ALL,SELL,M30,DI_GAP,2352,12.320973,10.812252,5.191558,18.110829,0.013876,43.980848
ALL,SELL,M30,ATR,2352,3.734757,2.345500,1.518812,3.888750,0.367000,80.369250
ALL,SELL,M30,ATR_PCT_PRICE,2352,0.170838,0.139855,0.099116,0.205305,0.028744,1.735756
ALL,SELL,M30,EMA200_DIST_POINTS,2352,1128.429394,626.501559,272.518761,1273.350845,0.578001,44750.927222
ALL,SELL,M30,EMA200_DIST_ATR,2352,1.081781,1.146083,-1.312228,3.489253,-20.984006,22.493132
ALL,SELL,H1,RSI,2352,54.801108,55.124262,46.345848,63.396214,14.317837,85.704768
ALL,SELL,H1,ADX,2352,29.206222,27.300400,20.819457,35.802685,10.034772,73.767288
ALL,SELL,H1,CCI,2352,55.359564,64.281230,-29.059009,131.647279,-317.081384,340.230503
ALL,SELL,H1,DI_PLUS,2352,20.991250,20.514774,14.885128,26.487914,1.835689,48.366814
ALL,SELL,H1,DI_MINUS,2352,15.056804,14.350196,10.357575,19.091671,2.720608,45.493573
ALL,SELL,H1,DI_GAP,2352,11.379477,9.796606,4.671552,16.808576,0.015439,42.267830
ALL,SELL,H1,ATR,2352,5.388402,3.410250,2.190125,5.436000,0.693250,149.765000
ALL,SELL,H1,ATR_PCT_PRICE,2352,0.244759,0.201585,0.144290,0.294191,0.053215,3.234515
ALL,SELL,H1,EMA200_DIST_POINTS,2352,1171.197370,679.865437,297.701120,1367.455630,0.542915,39321.504565
ALL,SELL,H1,EMA200_DIST_ATR,2352,1.117216,1.035781,-0.773165,2.879227,-17.188036,14.778435
ALL,SELL,H4,RSI,2330,52.729684,52.567576,46.899085,58.741936,17.785616,85.496997
ALL,SELL,H4,ADX,2330,27.481884,26.157663,20.647872,33.036354,10.900567,74.847449
ALL,SELL,H4,CCI,2330,21.486312,29.367600,-66.179987,104.175063,-334.656554,366.579580
ALL,SELL,H4,DI_PLUS,2330,18.990630,18.225890,13.683860,23.850516,2.181577,48.385709
ALL,SELL,H4,DI_MINUS,2330,16.908823,16.125624,12.045727,21.087565,3.497262,45.023627
ALL,SELL,H4,DI_GAP,2330,10.316845,9.371480,4.139349,14.947377,0.006167,42.927261
ALL,SELL,H4,ATR,2330,10.377281,6.526875,4.372563,10.420750,0.958250,236.049000
ALL,SELL,H4,ATR_PCT_PRICE,2330,0.466658,0.394073,0.288188,0.542970,0.074491,5.034332
ALL,SELL,H4,EMA200_DIST_POINTS,2330,3382.348405,1933.064446,784.829315,4108.869042,0.147989,43298.482266
ALL,SELL,H4,EMA200_DIST_ATR,2330,1.255443,1.068979,-1.635764,4.125690,-17.769717,23.536023
SETUP_STOP,ALL,M1,RSI,394,36.574883,31.148498,24.391300,47.068890,3.982160,92.787753
SETUP_STOP,ALL,M1,ADX,394,36.610903,33.399365,25.191262,47.491197,10.362796,89.058620
SETUP_STOP,ALL,M1,CCI,394,-98.933790,-142.920064,-205.562899,23.396582,-466.666667,466.666667
SETUP_STOP,ALL,M1,DI_PLUS,394,15.048515,12.036999,7.756989,20.252455,0.894981,54.038483
SETUP_STOP,ALL,M1,DI_MINUS,394,28.315406,30.928200,17.683189,36.451038,2.518726,58.632991
SETUP_STOP,ALL,M1,DI_GAP,394,21.145391,21.877820,11.083378,29.926141,0.179042,57.285740
SETUP_STOP,ALL,M1,ATR,394,1.681562,0.885000,0.410375,1.895812,0.077000,19.901500
SETUP_STOP,ALL,M1,ATR_PCT_PRICE,394,0.059925,0.045881,0.026855,0.067261,0.005816,0.416671
SETUP_STOP,ALL,M1,EMA200_DIST_POINTS,394,931.205885,452.052392,182.521481,1069.161915,3.367892,12329.541680
SETUP_STOP,ALL,M1,EMA200_DIST_ATR,394,-3.867606,-4.726978,-7.146177,-1.070690,-46.378751,16.358918
SETUP_STOP,ALL,M5,RSI,394,37.250055,33.248881,25.112136,46.349688,8.049822,87.703854
SETUP_STOP,ALL,M5,ADX,394,35.351013,32.924049,25.176766,43.004803,10.757575,77.573579
SETUP_STOP,ALL,M5,CCI,394,-113.654323,-147.910640,-199.311233,-81.892130,-466.666667,466.666667
SETUP_STOP,ALL,M5,DI_PLUS,394,13.142277,10.611369,7.760911,15.871113,1.210981,47.996007
SETUP_STOP,ALL,M5,DI_MINUS,394,27.207142,27.967540,20.683153,33.703489,3.288107,53.992585
SETUP_STOP,ALL,M5,DI_GAP,394,19.673312,19.709818,12.339155,26.232452,0.045010,49.147503
SETUP_STOP,ALL,M5,ATR,394,3.491306,1.869250,0.872125,4.148500,0.137750,30.328250
SETUP_STOP,ALL,M5,ATR_PCT_PRICE,394,0.124847,0.096477,0.053583,0.155413,0.012022,0.733809
SETUP_STOP,ALL,M5,EMA200_DIST_POINTS,394,1499.113426,727.688112,261.843728,1647.757176,1.072766,24035.769164
SETUP_STOP,ALL,M5,EMA200_DIST_ATR,394,-2.095599,-2.879762,-5.042033,0.374173,-16.976156,23.130177
SETUP_STOP,ALL,M15,RSI,394,39.621969,36.428240,27.588872,49.212983,7.383082,91.499408
SETUP_STOP,ALL,M15,ADX,394,32.468030,30.463917,22.885181,39.112198,12.993218,75.727303
SETUP_STOP,ALL,M15,CCI,394,-99.418642,-134.584884,-195.258505,-14.138141,-466.666667,459.771916
SETUP_STOP,ALL,M15,DI_PLUS,394,14.200474,12.022537,8.384055,18.282655,1.792282,43.832227
SETUP_STOP,ALL,M15,DI_MINUS,394,25.258674,26.076206,19.419259,32.115483,1.436306,46.035746
SETUP_STOP,ALL,M15,DI_GAP,394,17.026890,16.728023,8.712462,23.559590,0.011596,40.437981
SETUP_STOP,ALL,M15,ATR,394,5.287064,2.675000,1.323500,6.248938,0.410000,46.938000
SETUP_STOP,ALL,M15,ATR_PCT_PRICE,394,0.187150,0.138604,0.086983,0.252104,0.025814,1.036911
SETUP_STOP,ALL,M15,EMA200_DIST_POINTS,394,2173.934673,866.196158,403.182476,2087.802451,3.074140,37114.917457
SETUP_STOP,ALL,M15,EMA200_DIST_ATR,394,-1.155882,-1.751198,-4.562041,1.523878,-14.596478,22.714642
SETUP_STOP,ALL,M30,RSI,394,41.665784,40.116311,30.724858,50.732727,7.388724,86.370149
SETUP_STOP,ALL,M30,ADX,394,32.074798,29.100830,22.685513,38.618376,11.828949,77.016038
SETUP_STOP,ALL,M30,CCI,394,-88.748744,-121.725855,-178.128160,4.930296,-417.103217,403.943540
SETUP_STOP,ALL,M30,DI_PLUS,394,14.251692,12.677814,8.382855,18.668778,1.231115,44.898264
SETUP_STOP,ALL,M30,DI_MINUS,394,24.076368,24.568348,18.275374,30.959560,2.795562,43.815857
